student_id,Age,Gender,classname,CoreStrengthScore,UpperBodyStrengthScore,FlexibilityScore,EnduranceScore,SpeedScore,AgilityScore,OverallScore,Height_cm,Weight_kg,BMI
ANON_001,12,M,Class 7,7.2,6.8,5.5,8.1,7.5,6.9,7.2,158.0,48.0,19.2
ANON_002,10,F,Class 5,5.1,4.8,8.2,6.3,5.5,7.1,6.2,142.0,36.0,17.9
ANON_003,15,M,Class 10,8.5,9.1,6.2,7.8,8.9,8.3,8.3,172.0,62.0,20.9
ANON_004,8,F,Class 3,4.2,3.9,9.1,5.0,6.1,7.8,5.9,128.0,26.0,15.9
ANON_005,14,M,Class 9,9.0,8.7,7.1,8.5,9.2,9.1,8.9,168.0,58.0,20.5
ANON_006,11,F,Class 6,6.3,5.5,7.8,7.2,6.8,8.0,7.0,150.0,42.0,18.7
ANON_007,16,M,Class 11,8.2,8.9,5.8,8.8,7.4,7.6,8.1,175.0,70.0,22.9
ANON_008,9,F,Class 4,3.8,3.5,8.9,4.8,5.9,7.5,5.7,133.0,30.0,16.9
ANON_009,13,M,Class 8,7.8,7.5,6.5,7.9,8.1,8.4,7.7,163.0,52.0,19.6
ANON_010,12,F,Class 7,6.5,5.9,7.2,7.0,6.4,7.8,6.8,156.0,46.0,18.9
ANON_011,17,M,Class 12,9.2,9.5,6.8,9.1,8.7,8.5,9.0,178.0,74.0,23.4
ANON_012,10,M,Class 5,5.5,6.2,6.0,6.8,7.2,6.5,6.4,145.0,38.0,18.1
ANON_013,14,F,Class 9,7.1,6.3,8.5,8.0,7.0,8.2,7.5,162.0,54.0,20.6
ANON_014,7,M,Class 2,3.5,3.2,7.8,4.5,5.5,6.9,5.2,122.0,22.0,14.8
ANON_015,15,F,Class 10,6.8,6.0,8.8,8.3,6.5,8.1,7.4,165.0,56.0,20.6
ANON_016,11,M,Class 6,6.9,7.1,5.5,7.5,8.0,7.2,7.1,151.0,44.0,19.3
ANON_017,13,F,Class 8,5.8,5.2,8.1,7.1,5.9,7.5,6.6,159.0,50.0,19.8
ANON_018,16,F,Class 11,7.5,6.8,8.4,8.6,7.2,8.3,7.8,166.0,57.0,20.7
ANON_019,9,M,Class 4,4.8,5.1,6.2,5.8,7.0,6.8,5.9,137.0,32.0,17.0
ANON_020,12,M,Class 7,8.1,7.8,6.8,7.5,8.5,8.7,7.9,160.0,50.0,19.5
ANON_021,10,F,Class 5,5.9,4.5,8.5,6.5,5.2,7.8,6.4,143.0,37.0,18.1
ANON_022,14,M,Class 9,7.5,8.2,5.9,8.2,7.8,7.5,7.5,170.0,60.0,20.8
ANON_023,8,M,Class 3,3.9,3.7,7.5,4.9,5.8,7.2,5.5,126.0,24.0,15.1
ANON_024,15,M,Class 10,9.1,8.5,6.5,8.9,9.0,8.8,8.8,174.0,65.0,21.4
ANON_025,11,F,Class 6,6.1,5.3,8.0,6.8,6.2,7.9,6.7,149.0,40.0,18.0
ANON_026,13,M,Class 8,8.5,8.0,7.0,8.0,8.8,9.0,8.2,165.0,55.0,20.2
ANON_027,17,F,Class 12,7.8,7.0,9.0,8.5,7.0,8.5,8.0,167.0,58.0,20.8
ANON_028,6,F,Class 1,3.0,2.8,8.5,3.8,5.0,6.5,4.9,116.0,20.0,14.9
ANON_029,12,M,Class 7,6.8,7.5,5.2,7.2,8.2,7.8,7.2,162.0,51.0,19.4
ANON_030,10,M,Class 5,6.5,6.8,5.8,7.0,7.5,7.0,6.8,147.0,39.0,18.1
ANON_031,14,F,Class 9,7.2,6.5,9.0,7.8,6.5,8.5,7.6,163.0,53.0,19.9
ANON_032,16,M,Class 11,9.0,9.2,6.0,9.0,8.5,8.2,8.7,176.0,72.0,23.2
ANON_033,9,F,Class 4,4.5,3.8,8.8,5.2,5.5,7.2,5.8,135.0,29.0,15.9
ANON_034,13,M,Class 8,7.0,7.2,6.2,7.8,7.9,8.0,7.4,164.0,53.0,19.7
ANON_035,15,F,Class 10,7.0,6.2,8.9,8.5,6.8,8.3,7.6,164.0,56.0,20.8
ANON_036,11,M,Class 6,7.1,7.5,5.5,7.5,8.1,7.5,7.3,153.0,45.0,19.2
ANON_037,14,M,Class 9,8.8,8.5,7.2,8.8,8.5,8.9,8.6,171.0,62.0,21.2
ANON_038,8,F,Class 3,3.5,3.2,9.0,4.5,5.2,7.5,5.5,127.0,25.0,15.5
ANON_039,12,F,Class 7,6.2,5.5,7.5,6.9,6.0,7.5,6.6,157.0,47.0,19.1
ANON_040,16,F,Class 11,8.0,7.2,8.8,8.8,7.5,8.5,8.1,167.0,58.0,20.8
ANON_041,10,M,Class 5,5.8,6.0,5.9,6.5,7.0,6.8,6.3,146.0,38.0,17.8
ANON_042,13,F,Class 8,6.5,5.8,8.5,7.5,6.2,8.0,7.1,160.0,51.0,19.9
ANON_043,15,M,Class 10,8.9,8.8,6.8,8.7,9.1,8.8,8.8,173.0,64.0,21.4
ANON_044,7,F,Class 2,3.2,2.9,8.0,4.0,4.8,6.8,5.0,120.0,21.0,14.6
ANON_045,14,F,Class 9,7.0,6.2,8.7,8.2,6.5,8.4,7.5,164.0,54.0,20.1
ANON_046,12,M,Class 7,7.5,8.0,5.8,7.8,8.5,8.0,7.6,161.0,52.0,20.1
ANON_047,11,F,Class 6,5.8,5.0,7.9,6.9,5.8,7.5,6.5,150.0,41.0,18.2
ANON_048,17,M,Class 12,9.5,9.8,7.0,9.2,8.8,8.6,9.2,179.0,76.0,23.7
ANON_049,9,M,Class 4,5.0,5.2,6.5,5.9,7.2,7.0,6.1,138.0,33.0,17.3
ANON_050,13,M,Class 8,8.0,7.8,6.5,8.2,8.5,8.5,8.0,166.0,56.0,20.3
ANON_051,10,F,Class 5,5.5,4.8,8.2,6.5,5.8,7.5,6.4,144.0,37.0,17.8
ANON_052,15,M,Class 10,8.5,9.0,6.0,8.8,8.8,8.5,8.6,175.0,67.0,21.9
ANON_053,8,M,Class 3,4.0,4.2,7.2,5.0,6.0,6.8,5.5,128.0,25.0,15.3
ANON_054,14,M,Class 9,8.2,8.5,6.5,8.5,8.2,8.0,8.2,169.0,61.0,21.4
ANON_055,12,F,Class 7,6.0,5.5,7.8,7.2,6.2,7.8,6.8,157.0,47.0,19.1
ANON_056,16,M,Class 11,8.8,9.0,6.2,8.5,8.2,8.0,8.5,176.0,71.0,22.9
ANON_057,11,M,Class 6,6.5,7.0,5.8,7.2,8.0,7.2,7.0,152.0,44.0,19.0
ANON_058,13,F,Class 8,7.0,6.0,8.8,7.8,6.5,8.2,7.4,161.0,52.0,20.0
ANON_059,9,F,Class 4,4.2,3.5,8.5,5.0,5.2,7.0,5.6,134.0,29.0,16.2
ANON_060,15,F,Class 10,7.5,6.8,9.2,8.5,7.0,8.5,7.9,165.0,56.0,20.6
ANON_061,12,M,Class 7,7.2,7.0,6.0,7.5,8.2,8.2,7.5,162.0,51.0,19.4
ANON_062,17,F,Class 12,8.0,7.2,9.1,8.8,7.2,8.8,8.2,168.0,59.0,20.9
ANON_063,10,M,Class 5,6.0,6.5,5.9,7.0,7.5,7.0,6.7,147.0,39.0,18.1
ANON_064,14,F,Class 9,6.8,6.0,8.8,8.0,6.5,8.2,7.4,163.0,53.0,19.9
ANON_065,16,F,Class 11,7.8,7.0,8.5,8.8,7.2,8.5,8.0,167.0,57.0,20.4
ANON_066,11,F,Class 6,6.0,5.2,7.8,6.8,5.9,7.8,6.6,150.0,41.0,18.2
